,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PPP1R9A,543.4649354,-1.636008255,0.169570872,-3.750692837,0.000176347,0.004518598
MYRFL,39.61920642,-1.638151771,0.208060867,-3.067139829,0.002161177,0.044112031
WASIR2,35.90013778,-1.639918337,0.165368138,-3.869659209,0.000108988,0.002929096
KLF15,251.5043332,-1.644668475,0.159237713,-4.048466045,5.16E-05,0.001469178
LINC01767,22.48902257,-1.645651499,0.212120309,-3.043798593,0.002336115,0.046881309
FSIP2-AS1,15.30881145,-1.646950838,0.156319852,-4.138635173,3.49E-05,0.001022487
ABCA9,230.6442593,-1.652751485,0.18830603,-3.466439637,0.0005274,0.012507292
SPTSSB,4038.545612,-1.653882191,0.20855937,-3.135232862,0.001717177,0.036098516
BAIAP3,765.68021,-1.65451894,0.14997656,-4.36414157,1.28E-05,0.000406911
ABCA10,316.7018926,-1.655840797,0.175086609,-3.745807858,0.000179814,0.004602511
TMEM178A,124.3304077,-1.661449699,0.166638223,-3.969375626,7.21E-05,0.00201746
ZNF432,1291.385422,-1.661770048,0.123238051,-5.369851632,7.88E-08,3.65E-06
ALKAL1,70.37121041,-1.662345236,0.187215721,-3.537871882,0.000403366,0.009779469
HAVCR1P1,24.66928212,-1.662375823,0.150205697,-4.409791616,1.03E-05,0.000333464
LIPI,5.046230892,-1.662484674,0.192151207,-3.447725795,0.000565328,0.013301074
MTCO3P12,258.2928627,-1.664542021,0.184179243,-3.608126565,0.000308416,0.007640335
ZNF321P,270.0425676,-1.665442744,0.108087416,-6.156523759,7.44E-10,4.66E-08
NPTXR,1645.305853,-1.670150623,0.167346947,-4.004558414,6.21E-05,0.001745657
RASL10A,108.1594913,-1.672473817,0.155213945,-4.33256056,1.47E-05,0.000460092
SEMA6A,2199.223618,-1.676123746,0.153291779,-4.410698018,1.03E-05,0.00033252
CLIC6,1290.235442,-1.6814977,0.219835091,-3.100040567,0.001934941,0.040076613
PWAR5,28.2050828,-1.684949133,0.197565753,-3.466942637,0.000526414,0.01249632
LINC01082,41.40915032,-1.685522629,0.215190332,-3.185657186,0.001444256,0.030877603
BTG2,15205.37358,-1.686492293,0.120825383,-5.681689369,1.33E-08,6.92E-07
GCNT4,877.380379,-1.687158374,0.145867919,-4.710825925,2.47E-06,9.06E-05
GPC2,294.9712216,-1.691529391,0.163339179,-4.233701892,2.30E-05,0.000694894
GGT6,3316.739779,-1.698797604,0.17704574,-3.946989088,7.91E-05,0.002194124
FREM1,206.5023314,-1.699815493,0.184372353,-3.795663954,0.000147249,0.003830555
SULT1C2,126.0613658,-1.700829262,0.20118166,-3.483564367,0.000494784,0.011855117
MYZAP,488.3972275,-1.701333178,0.138582727,-5.060754622,4.18E-07,1.74E-05
LRRIQ4,31.06206191,-1.704579432,0.183562218,-3.83836848,0.000123855,0.003275493
CHAD,74.80837364,-1.706349739,0.15081827,-4.683449425,2.82E-06,0.000103005
MTATP6P27,2.349073739,-1.711984483,0.225217001,-3.161326542,0.001570523,0.033308762
AOC4P,18.86086548,-1.719561325,0.190733115,-3.77260826,0.00016155,0.004184351
SYT8,7461.383873,-1.722088372,0.216226154,-3.339505222,0.000839278,0.018890473
HNF1B,795.1525986,-1.723171469,0.226691668,-3.190110488,0.001422184,0.030514985
AZGP1,429.3568771,-1.727333525,0.238370354,-3.051275092,0.002278717,0.046171793
GOLT1A,749.6547895,-1.728159979,0.16952164,-4.295380689,1.74E-05,0.000539469
SLC4A9,16.3361194,-1.730960766,0.16544203,-4.418228937,9.95E-06,0.000323329
MIR3189,28.88268382,-1.731791374,0.220332577,-3.321303561,0.00089598,0.020090991
RNU6-853P,1.757585748,-1.733551616,0.218719977,-3.353839124,0.000796987,0.018006474
METTL7A,7000.187249,-1.73809713,0.124852912,-5.911733405,3.39E-09,1.92E-07
CACNB4,126.4887427,-1.739352774,0.180792883,-4.089501552,4.32E-05,0.001251368
KCNH6,5.898840739,-1.740620481,0.240019633,-3.085666256,0.002030966,0.041847722
HPGD,13168.27818,-1.741424196,0.21481545,-3.451447261,0.000557589,0.013144893
DLEC1,77.959018,-1.741677866,0.126167992,-5.878494677,4.14E-09,2.32E-07
CAB39L,2497.203927,-1.743930415,0.117977671,-6.305688268,2.87E-10,1.88E-08
REN,143.781281,-1.744061227,0.234615046,-3.171413081,0.001516993,0.032288146
SLC35F4,11.07435291,-1.744377148,0.190890734,-3.899493359,9.64E-05,0.002618873
REEP6,2571.197413,-1.745388605,0.158030727,-4.716732119,2.40E-06,8.83E-05
ZNF682,416.6424278,-1.745583592,0.118416884,-6.296260839,3.05E-10,1.99E-08
FOXQ1,3457.302786,-1.746960201,0.177358578,-4.211582036,2.54E-05,0.000759843
PKIA,1536.577705,-1.754655168,0.12936649,-5.833467154,5.43E-09,2.94E-07
RNF126P1,13.01920117,-1.755806773,0.246372904,-3.067734963,0.002156878,0.044061941
LINC02067,5.753946476,-1.762135401,0.193896,-3.930640145,8.47E-05,0.002328191
HID1,4257.380304,-1.771823637,0.136834899,-5.640546699,1.70E-08,8.69E-07
ARHGAP6,378.6821166,-1.7745429,0.170082244,-4.553931568,5.27E-06,0.000182761
CYP2J2,1668.398623,-1.774773991,0.156705059,-4.944154284,7.65E-07,3.05E-05
MYCN,427.3592426,-1.774831486,0.227408595,-3.407221647,0.000656278,0.015245698
SCN5A,269.7434368,-1.776544601,0.193503597,-4.013075789,5.99E-05,0.001693789
LPA,29.26281364,-1.782110866,0.255682577,-3.058913417,0.002221413,0.045225553
SORL1,6560.727703,-1.78269393,0.133147991,-5.878375793,4.14E-09,2.32E-07
MTUS2,331.342683,-1.784005685,0.250265082,-3.132701046,0.001732058,0.036379303
EMX2OS,338.3895359,-1.785900149,0.226950515,-3.46287008,0.000534446,0.01266182
KRT12,36.68980682,-1.786775762,0.232121997,-3.389492467,0.000700221,0.016094308
GRM6,21.5444071,-1.786798554,0.230418538,-3.41464954,0.000638641,0.014864904
LINC01451,275.7809696,-1.788182027,0.200336009,-3.934300339,8.34E-05,0.002295641
SLC9A2,815.9240039,-1.795155789,0.20092254,-3.957524073,7.57E-05,0.002112761
KIF5C,697.6696529,-1.799144584,0.162398576,-4.920884175,8.62E-07,3.42E-05
VEGFD,66.89691262,-1.800303571,0.19176523,-4.173350768,3.00E-05,0.000890427
CYP3A7,54.14321776,-1.801761842,0.174195814,-4.602646996,4.17E-06,0.000148466
NRXN3,433.4859751,-1.802094163,0.192218912,-4.172816055,3.01E-05,0.000891413
KRT7-AS,881.3977704,-1.804035937,0.178444711,-4.505798638,6.61E-06,0.000224662
PRR36,689.3543829,-1.807753347,0.188051358,-4.29538693,1.74E-05,0.000539469
ZSCAN1,25.07342466,-1.81359407,0.239286716,-3.400080393,0.00067366,0.015543657
MTND5P1,6.74414306,-1.814618924,0.231910027,-3.512650726,0.00044366,0.010702072
FBLL1,62.16743633,-1.820185209,0.211766495,-3.87306409,0.000107476,0.002896866
LINC01873,7.902033771,-1.821939095,0.193265351,-4.252904573,2.11E-05,0.000645232
SLC8A1-AS1,19.36562542,-1.824307322,0.203438579,-4.051873184,5.08E-05,0.001449692
FSTL4,759.5193468,-1.825258343,0.194319359,-4.246917787,2.17E-05,0.000660174
KRT18P59,14.5076727,-1.827580056,0.169291279,-4.888497872,1.02E-06,3.98E-05
ACER2,1615.319047,-1.82851745,0.181796884,-4.557379804,5.18E-06,0.000180574
BNIP3P40,1.858936703,-1.830192816,0.200814392,-4.134130075,3.56E-05,0.0010402
MAPT,240.4769396,-1.835818599,0.170717381,-4.895919749,9.78E-07,3.85E-05
OTOF,128.5230438,-1.837404067,0.186476334,-4.490672084,7.10E-06,0.000239481
TPRG1LP1,26.29000104,-1.83929712,0.21490163,-3.905494437,9.40E-05,0.002560548
MTCO2P27,0.976926067,-1.840575644,0.265932241,-3.160863987,0.001573019,0.033332098
EVPLL,39.80182587,-1.842923413,0.212921032,-3.958854619,7.53E-05,0.002103485
LINC01833,257.3615122,-1.846343343,0.245672766,-3.445002698,0.000571054,0.013422572
SEZ6,6.806849146,-1.846361316,0.197821417,-4.278410942,1.88E-05,0.000580772
LUZP2,231.722546,-1.846372257,0.248951594,-3.399746286,0.000674484,0.015547639
DSCAML1,26.79600899,-1.846804064,0.208990935,-4.051869835,5.08E-05,0.001449692
FCRLB,935.2991595,-1.847468297,0.184159154,-4.601825541,4.19E-06,0.000148831
NPIPB15,267.6736606,-1.848347076,0.204000471,-4.158554504,3.20E-05,0.000945404
PLA2G2A,4751.961957,-1.852365834,0.251390613,-3.390603273,0.00069739,0.01605127
SMIM23,2.197022081,-1.853865812,0.267387495,-3.193364795,0.001406252,0.030254683
TTC6,150.2672668,-1.857565002,0.169195402,-5.068488799,4.01E-07,1.68E-05
PI16,246.3693702,-1.858880553,0.279647716,-3.071294721,0.002131327,0.043614577
PLEKHH1,1269.046188,-1.862732682,0.128805111,-6.69796933,2.11E-11,1.60E-09
BEND5,255.8879718,-1.864263578,0.130346589,-6.630503995,3.35E-11,2.45E-09
FAM3D-AS1,2.752191062,-1.864661643,0.276431794,-3.127938471,0.00176037,0.036909046
GSTM5,287.1560963,-1.867845303,0.194046371,-4.47236038,7.74E-06,0.000258747
RNF157-AS1,62.28958023,-1.869231805,0.170544733,-5.096796534,3.45E-07,1.45E-05
ZSCAN4,66.03955873,-1.870332395,0.222639081,-3.909162725,9.26E-05,0.002527744
MIR4639,1.377448778,-1.870676653,0.239397019,-3.636956951,0.000275878,0.006884266
SYTL5,596.7624263,-1.871374686,0.214736485,-4.057879049,4.95E-05,0.001416283
LINC01342,8.026593221,-1.873470847,0.239111713,-3.652982273,0.000259212,0.006495535
A1CF,7.718679472,-1.874168648,0.258972511,-3.375526787,0.000736745,0.01678837
RBBP8NL,797.0124655,-1.874196352,0.158957757,-5.499551378,3.81E-08,1.84E-06
CA4,191.1845986,-1.876024062,0.281891417,-3.1076649,0.001885718,0.039193055
C20orf203,11.02907711,-1.87699942,0.177377381,-4.944257363,7.64E-07,3.05E-05
SPAG6,19.26208406,-1.879783118,0.235110479,-3.741998748,0.000182562,0.004662859
TEPP,221.1420025,-1.886232865,0.263319159,-3.365622421,0.000763712,0.017336691
PGM5,1627.335651,-1.888530378,0.241749864,-3.675412109,0.000237466,0.00599463
TRIM63,52.36061631,-1.893542814,0.243525188,-3.669200793,0.00024331,0.006129203
TMEM35A,160.5968055,-1.89543297,0.23518644,-3.807332475,0.000140474,0.00366629
ATF7IP2,1180.239775,-1.896350483,0.116939471,-7.6650807,1.79E-14,2.07E-12
RPL21P32,1.054886842,-1.897121401,0.288458837,-3.11004998,0.001870557,0.038945745
MROH3P,88.28322443,-1.898683483,0.193081937,-4.654415091,3.25E-06,0.000117205
