,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TH,573.8084081,-2.121893456,0.26427509,-4.245172925,2.18E-05,0.000663639
LINC01266,8.803941477,-2.122697346,0.25453814,-4.410723454,1.03E-05,0.00033252
TBX1,1380.195939,-2.123104306,0.189819664,-5.916691034,3.28E-09,1.87E-07
SCUBE2,3699.57261,-2.127033394,0.20611424,-5.468003542,4.55E-08,2.18E-06
ALDH1L1-AS2,83.66290777,-2.129302824,0.231302449,-4.882364328,1.05E-06,4.09E-05
MIMT1,0.969030841,-2.130699486,0.356693482,-3.169947149,0.001524667,0.032422587
PACRG-AS1,2.643432195,-2.135695711,0.253144129,-4.486360072,7.25E-06,0.000243688
UCP1,9.101559575,-2.136437099,0.266281481,-4.26780373,1.97E-05,0.000605948
MIR149,1.962995846,-2.138066309,0.301721363,-3.771911606,0.000162002,0.004187311
TM4SF4,14.4964535,-2.139201187,0.31083593,-3.664959801,0.000247377,0.006218548
CASC16,1.972002668,-2.141451133,0.281272407,-4.058169612,4.95E-05,0.001416219
OVGP1,312.2808245,-2.141640025,0.148170078,-7.704929652,1.31E-14,1.54E-12
LINC02571,2.808965564,-2.143950137,0.340496326,-3.359654861,0.000780399,0.017665126
KCTD16,41.04825234,-2.145323304,0.203756938,-5.621027281,1.90E-08,9.60E-07
CTNND2,47.0519983,-2.151889214,0.242680557,-4.746524516,2.07E-06,7.70E-05
EMX1,65.76582175,-2.154189969,0.23421654,-4.927875579,8.31E-07,3.31E-05
RPS3AP53,4.145362791,-2.165606136,0.20405136,-5.712317395,1.11E-08,5.81E-07
REG4,57.76519969,-2.166024111,0.235453413,-4.952249771,7.34E-07,2.93E-05
EEF1GP4,5.002805709,-2.166291737,0.221602511,-5.262989727,1.42E-07,6.33E-06
CTSL3P,8.010971526,-2.168392846,0.369385513,-3.163071657,0.001561139,0.033139165
CA1,6.163098545,-2.171427263,0.307510579,-3.8093885,0.000139311,0.003647899
GHRHR,5.245039986,-2.172013256,0.38696036,-3.028768256,0.00245553,0.049153817
TSGA10IP,13.65775389,-2.176701057,0.224754769,-5.235488705,1.65E-07,7.28E-06
SYT9,28.97245179,-2.177942566,0.241582224,-4.875948837,1.08E-06,4.22E-05
RPL21P54,1.775888002,-2.179565129,0.270610342,-4.358906308,1.31E-05,0.000415104
MIR141,1.591431425,-2.181439767,0.305410933,-3.868361081,0.000109569,0.002940028
ERICH5,375.4533735,-2.182285689,0.171641002,-6.888130895,5.65E-12,4.72E-10
TNNT3,1972.055477,-2.189232369,0.262744574,-4.526191924,6.01E-06,0.000205179
MIR200C,1.535409431,-2.195338705,0.307343822,-3.889255684,0.000100552,0.002719463
RHBG,646.6553206,-2.197306275,0.219874474,-5.445408249,5.17E-08,2.45E-06
KCNJ13,8.579972054,-2.199077052,0.232182305,-5.16437742,2.41E-07,1.05E-05
KCNH4,73.41238597,-2.199582765,0.169940729,-7.058830309,1.68E-12,1.48E-10
TNNI2,1927.003544,-2.205571891,0.215595509,-5.591822832,2.25E-08,1.13E-06
PROKR1,8.561793807,-2.205827413,0.253457165,-4.75751953,1.96E-06,7.31E-05
ZBTB8B,136.2977305,-2.206937776,0.178164792,-6.774277706,1.25E-11,9.85E-10
MIR6784,4.791114785,-2.207306394,0.208569542,-5.788507664,7.10E-09,3.79E-07
RPL7P51,1.526436858,-2.208030726,0.346807468,-3.483289255,0.000495293,0.011855117
TRAV30,30.60050636,-2.208531777,0.300961586,-4.015568214,5.93E-05,0.001677973
TRAV33,1.515367778,-2.208615447,0.39658233,-3.047577651,0.002306939,0.046609149
ASTL,26.38842202,-2.212324524,0.195733459,-6.19375212,5.87E-10,3.71E-08
CHIAP2,3.05631218,-2.213097675,0.396966592,-3.055918808,0.00224372,0.045601939
PWAR1,2.408438521,-2.216710908,0.242129991,-5.025031815,5.03E-07,2.08E-05
CYP3A5,1391.856404,-2.217285059,0.197536796,-6.162320562,7.17E-10,4.51E-08
MIR4728,4.731710266,-2.218019973,0.203635992,-5.981359009,2.21E-09,1.30E-07
FOXH1,56.35753492,-2.21833775,0.181977127,-6.695004848,2.16E-11,1.63E-09
SSTR5,12.8756257,-2.220507535,0.351418595,-3.473087518,0.000514508,0.012250204
PAH,25.79363517,-2.22548729,0.28353596,-4.322158257,1.55E-05,0.000481705
FBP2,22.39206766,-2.228509087,0.175142858,-7.014325901,2.31E-12,1.99E-10
SPATA31E1,3.275683194,-2.229841929,0.343226655,-3.58317721,0.00033944,0.008356877
LINC01671,211.3618315,-2.231442508,0.220776009,-5.577791335,2.44E-08,1.21E-06
ST3GAL5,2162.322977,-2.232539587,0.129820448,-9.494186794,2.22E-21,5.20E-19
ZNF66,198.1880051,-2.232705063,0.149735913,-8.23252778,1.83E-16,2.56E-14
SLC14A1,4976.684578,-2.233004452,0.226808371,-5.436326908,5.44E-08,2.57E-06
SLC38A4,842.5519793,-2.236783121,0.256257343,-4.826332418,1.39E-06,5.31E-05
PPM1N,396.0802454,-2.236844862,0.165391646,-7.478278933,7.53E-14,7.92E-12
GDPD2,439.1319796,-2.236879654,0.223981934,-5.522229538,3.35E-08,1.63E-06
RPL37P1,16.78877402,-2.23998616,0.161365308,-7.684341679,1.54E-14,1.79E-12
NRG2,94.6358502,-2.241784374,0.186434065,-6.66071606,2.72E-11,2.02E-09
CASR,11.46294896,-2.243123251,0.278150121,-4.469252953,7.85E-06,0.000262167
ASB10,1.838725642,-2.244873662,0.295574248,-4.211712182,2.53E-05,0.000759843
EML6,332.1552717,-2.246182274,0.155991737,-7.988771075,1.36E-15,1.79E-13
HCN4,11.81521894,-2.247807503,0.258041936,-4.835677194,1.33E-06,5.10E-05
LINC01820,7.632839189,-2.249939439,0.294383703,-4.245953246,2.18E-05,0.000662176
PCP4L1,1470.475223,-2.250791321,0.220423141,-5.674500928,1.39E-08,7.19E-07
PSD2,57.1330542,-2.253729019,0.219149649,-5.720880785,1.06E-08,5.54E-07
MTND5P32,0.924661591,-2.25690148,0.301779373,-4.16496816,3.11E-05,0.000920353
TLX1,57.85995485,-2.25918238,0.3232789,-3.895034222,9.82E-05,0.002661467
TDRG1,7.018490727,-2.262482478,0.278821061,-4.527930828,5.96E-06,0.000203831
LRRTM3,7.953760149,-2.266399812,0.335746632,-3.771891335,0.000162015,0.004187311
HS3ST6,266.5608231,-2.272158085,0.259393553,-4.904355071,9.37E-07,3.70E-05
BAAT,14.01836492,-2.27275388,0.280260835,-4.541319089,5.59E-06,0.00019209
SELL,1907.359207,-2.276354873,0.201853567,-6.323172238,2.56E-10,1.70E-08
PLA2G2F,5054.045397,-2.277663012,0.237295759,-5.38426399,7.27E-08,3.40E-06
ELOCP24,1.524528975,-2.278808587,0.338797278,-3.774553895,0.000160294,0.004156338
TFAP2B,45.90226532,-2.283841853,0.322293042,-3.983461282,6.79E-05,0.001905955
SCN11A,38.44641257,-2.285336111,0.193056304,-6.657830311,2.78E-11,2.05E-09
SULT1A2,151.0127736,-2.294052884,0.194595187,-6.649973728,2.93E-11,2.16E-09
MS4A5,1.043111371,-2.295626981,0.336388782,-3.851576062,0.00011736,0.003114084
CYP2C8,42.79462464,-2.297759027,0.183456771,-7.073922768,1.51E-12,1.34E-10
SHH,1333.229465,-2.298507418,0.288929604,-4.494199974,6.98E-06,0.000236212
GSTM2,2966.970195,-2.298871317,0.209037922,-6.213567879,5.18E-10,3.29E-08
PLCE1-AS2,1.796578704,-2.305707532,0.292662536,-4.461478231,8.14E-06,0.000270112
PTPRT,39.51602203,-2.313120391,0.253875107,-5.172308565,2.31E-07,1.01E-05
ACOXL-AS1,30.85545678,-2.313202807,0.156667844,-8.382082563,5.20E-17,7.76E-15
OR5M11,5.775411036,-2.314329546,0.262213343,-5.012443428,5.37E-07,2.20E-05
OR9K2,0.827343529,-2.316756093,0.414080165,-3.179954519,0.001472982,0.031458892
KLHDC7A,1585.508641,-2.320644356,0.21982278,-6.007768431,1.88E-09,1.12E-07
SPINK1,24417.04997,-2.32313729,0.288187501,-4.591237593,4.41E-06,0.000155659
SIGLEC15,411.5173322,-2.3301975,0.17452042,-7.622016375,2.50E-14,2.81E-12
BCAS1,3908.619635,-2.340872437,0.199952246,-6.705963366,2.00E-11,1.52E-09
FAM3B,2712.212916,-2.344650228,0.21048769,-6.388260654,1.68E-10,1.14E-08
FABP7,35.86774818,-2.34567962,0.430088075,-3.128846625,0.001754939,0.0368275
FABP6,666.3033601,-2.347196017,0.196887458,-6.84246742,7.78E-12,6.30E-10
LCE1E,12.04828454,-2.348339145,0.335721044,-4.016248513,5.91E-05,0.001675123
MYCL,6453.671951,-2.348452794,0.147704196,-9.129414242,6.89E-20,1.41E-17
ATOH8,697.1142828,-2.354433491,0.190027315,-7.127572649,1.02E-12,9.38E-11
HS3ST5,87.14517058,-2.354684401,0.257439729,-5.262141961,1.42E-07,6.34E-06
TBX2-AS1,519.2488032,-2.358921824,0.181092245,-7.504031019,6.19E-14,6.66E-12
HAVCR1,98.30359062,-2.359586036,0.325696873,-4.174390813,2.99E-05,0.000887472
PACRG,78.12892756,-2.362490933,0.199775358,-6.820115072,9.10E-12,7.29E-10
CPNE6,14.65547917,-2.366055824,0.258853883,-5.277324052,1.31E-07,5.91E-06
OR13A1,84.30374917,-2.366557848,0.173993315,-7.854082494,4.03E-15,4.98E-13
BRDT,8.447837075,-2.368080734,0.300467615,-4.553172002,5.28E-06,0.000183156
COL9A1,68.3445914,-2.372880654,0.237584136,-5.778503039,7.54E-09,4.02E-07
VWC2L,2.099663579,-2.374982787,0.27583755,-4.984755654,6.20E-07,2.52E-05
KEL,77.93446491,-2.375016726,0.190163353,-7.230713501,4.80E-13,4.57E-11
CYP4Z2P,77.81148184,-2.376413019,0.213787006,-6.438244507,1.21E-10,8.37E-09
PLIN5,570.3806141,-2.381345642,0.173191702,-7.975818842,1.51E-15,1.96E-13
LINC01612,53.1958615,-2.382485025,0.313196578,-4.414112809,1.01E-05,0.000328202
TPPP2,10.26037257,-2.385282121,0.23594473,-5.871214498,4.33E-09,2.40E-07
SFTPA2,68.34949058,-2.39001313,0.282949235,-4.912588408,8.99E-07,3.56E-05
HSD17B2,2595.141362,-2.392181688,0.208225068,-6.685946627,2.29E-11,1.72E-09
GAS2,88.11727667,-2.395587344,0.197476618,-7.06710169,1.58E-12,1.40E-10
DPP10-AS1,12.78603037,-2.397249682,0.458868638,-3.044988402,0.002326893,0.046814261
BMP3,1982.145686,-2.410698816,0.231043772,-6.105764293,1.02E-09,6.28E-08
GDF7,387.346266,-2.415152971,0.158359977,-8.936304485,4.02E-19,7.69E-17
BTNL2,2.916565413,-2.415862003,0.309171406,-4.579537362,4.66E-06,0.000163177
PGLYRP2,24.49315298,-2.416482886,0.214750797,-6.595937745,4.23E-11,3.05E-09
CYP4F22,1668.403933,-2.419773038,0.218399088,-6.500819436,7.99E-11,5.66E-09
EVX1,400.0284199,-2.420645881,0.242338573,-5.862235889,4.57E-09,2.51E-07
COL6A5,71.07611341,-2.433548834,0.222186598,-6.452004061,1.10E-10,7.73E-09
PSCA,61483.33196,-2.450494408,0.239373641,-6.059541073,1.37E-09,8.23E-08
SULT1E1,552.7992998,-2.454458738,0.289243255,-5.028496651,4.94E-07,2.05E-05
BNIP3P15,6.020714782,-2.464416658,0.242486568,-6.039166083,1.55E-09,9.32E-08
BRWD1P3,2.058951954,-2.471345117,0.268613229,-5.477560138,4.31E-08,2.07E-06
TEKT5,83.1033773,-2.475085399,0.192890432,-7.647270949,2.05E-14,2.35E-12
ALB,146.969213,-2.477437997,0.32424433,-4.556557693,5.20E-06,0.000181018
DPP10,22.67035956,-2.479346183,0.374157252,-3.953808654,7.69E-05,0.002143353
PTGDR2,37.53094396,-2.4794256,0.178297523,-8.297510665,1.06E-16,1.50E-14
VSIG2,5869.842829,-2.479973403,0.19389858,-7.632719143,2.30E-14,2.60E-12
TBX3,8229.234391,-2.487311372,0.138393364,-10.74698475,6.12E-27,2.52E-24
RNU6-1065P,1.286187798,-2.495667596,0.35158215,-4.254105605,2.10E-05,0.000642602
WFDC10A,1.254827772,-2.497128464,0.345313063,-4.33556857,1.45E-05,0.00045623
UGT1A1,153.0779562,-2.502961841,0.26464747,-5.67910904,1.35E-08,7.01E-07
GGT2,29.53447876,-2.511172253,0.283185364,-5.336335998,9.48E-08,4.36E-06
PDZD3,99.76897282,-2.516928429,0.252492875,-6.007806869,1.88E-09,1.12E-07
ZNF737,810.093916,-2.520646094,0.162033472,-9.384765207,6.31E-21,1.42E-18
MYCNOS,32.65278115,-2.532129101,0.271378269,-5.645732447,1.64E-08,8.45E-07
PSMC1P7,7.130289406,-2.532796835,0.232145811,-6.602733117,4.04E-11,2.92E-09
RPRM,96.97299035,-2.534796097,0.195793971,-7.838832277,4.55E-15,5.54E-13
SLC7A13,2.255575124,-2.537750083,0.373727194,-4.114632561,3.88E-05,0.001128011
CASQ1,455.2571306,-2.53935199,0.208636566,-7.378150527,1.61E-13,1.63E-11
RPL9P15,1.392484696,-2.540190886,0.442952107,-3.477104777,0.00050686,0.012092224
AATBC,1210.817013,-2.546765792,0.164061581,-9.427958577,4.18E-21,9.51E-19
RMST,27.01200454,-2.556022166,0.294571267,-5.282328383,1.28E-07,5.77E-06
UPK2,16853.5758,-2.556300365,0.242134469,-6.427421814,1.30E-10,8.93E-09
SLC15A5,6.267214686,-2.559827262,0.342049917,-4.560232837,5.11E-06,0.000178399
RNU4-78P,5.032179117,-2.55996812,0.198564112,-7.856244034,3.96E-15,4.92E-13
GBX1,12.99418739,-2.571800775,0.320802105,-4.899596206,9.60E-07,3.78E-05
INSM1,20.94258281,-2.572732947,0.304949441,-5.157356385,2.50E-07,1.09E-05
MIR6071,1.004754447,-2.573768967,0.355018782,-4.432917491,9.30E-06,0.000304963
CYP2C9,49.48288338,-2.580453216,0.300048064,-5.267333485,1.38E-07,6.20E-06
CLEC3A,37.46607136,-2.581169204,0.349206813,-4.527887616,5.96E-06,0.000203831
HS6ST3,329.4889398,-2.587833353,0.275242398,-5.768854516,7.98E-09,4.23E-07
SLC36A2,11.20582372,-2.592733067,0.250345031,-6.362151704,1.99E-10,1.35E-08
KLK3,31.77525642,-2.593261513,0.4857679,-3.279882251,0.001038504,0.023027408
UGT2B4,7.069287747,-2.594550873,0.344770726,-4.624960168,3.75E-06,0.000134145
GGT3P,13.19596684,-2.602076037,0.292406696,-5.478930752,4.28E-08,2.06E-06
AQP12A,1.606156443,-2.603659856,0.439437707,-3.649345125,0.00026291,0.006581285
MROH2A,247.0017733,-2.605248143,0.255231021,-6.289392781,3.19E-10,2.07E-08
ERBB4,78.4120059,-2.607235781,0.23753497,-6.766312256,1.32E-11,1.04E-09
GATA3-AS1,631.680172,-2.611704141,0.203371177,-7.924938866,2.28E-15,2.92E-13
UPK3A,3807.845595,-2.619318017,0.268738246,-6.025632911,1.68E-09,1.01E-07
CYP4F29P,221.8468977,-2.628088948,0.239084519,-6.8096795,9.78E-12,7.81E-10
DACH2,62.43058225,-2.631772296,0.251894422,-6.478000916,9.29E-11,6.57E-09
WSCD2,461.7797934,-2.635246961,0.214630284,-7.618901351,2.56E-14,2.87E-12
GHRH,1.531203682,-2.646276949,0.539455617,-3.051737521,0.00227521,0.046163365
LINC01122,14.74952017,-2.648602505,0.282304249,-5.839807625,5.23E-09,2.84E-07
TDH,71.13367758,-2.652656657,0.187540275,-8.812275956,1.23E-18,2.18E-16
CYP4F12,1746.041923,-2.655420222,0.19758569,-8.378239457,5.37E-17,7.97E-15
MIR548AN,4.319433807,-2.656149377,0.226432123,-7.31410967,2.59E-13,2.56E-11
UPK1A,9300.251232,-2.665021172,0.263365169,-6.322100895,2.58E-10,1.70E-08
GGTLC3,1.668463289,-2.671071845,0.445100821,-3.754367024,0.00017378,0.004462411
MYCNUT,13.3533207,-2.673071801,0.355449311,-4.706920931,2.51E-06,9.23E-05
UGT2B15,126.9730896,-2.678171306,0.311613619,-5.385423503,7.23E-08,3.38E-06
KSR2,241.0479262,-2.679322054,0.191240058,-8.781225406,1.62E-18,2.78E-16
SEZ6L,38.06797068,-2.6923491,0.271777146,-6.226973554,4.76E-10,3.04E-08
ATP1A4,504.4662261,-2.693792883,0.231776551,-7.307869898,2.71E-13,2.67E-11
MIR3131,1.290685498,-2.694289052,0.55985173,-3.026317438,0.002475523,0.049512525
UGT2B11,6.92037885,-2.698468027,0.324354193,-5.236460822,1.64E-07,7.25E-06
ACOXL,553.3426795,-2.70237285,0.191691176,-8.880809696,6.64E-19,1.24E-16
LDHAL6A,28.80419427,-2.705600407,0.268689784,-6.347842409,2.18E-10,1.46E-08
GKN1,28.61256574,-2.70778204,0.354831554,-4.812937347,1.49E-06,5.65E-05
DAB1,377.6958029,-2.70800303,0.255759716,-6.678155016,2.42E-11,1.80E-09
IHH,103.56215,-2.709103659,0.298675048,-5.722284697,1.05E-08,5.51E-07
PTPRR,863.1351272,-2.710500835,0.21584421,-7.924701045,2.29E-15,2.92E-13
TTR,215.6280115,-2.718095085,0.389125001,-4.415278079,1.01E-05,0.000326882
BPIFA2,9.832895925,-2.724201319,0.340899228,-5.057803525,4.24E-07,1.77E-05
PGM5-AS1,81.5377143,-2.724511238,0.37337836,-4.618669489,3.86E-06,0.000137863
CYP4F35P,129.0648494,-2.724512591,0.251013357,-6.870202503,6.41E-12,5.26E-10
MIR3972,12.88617865,-2.725534403,0.267682579,-6.446196131,1.15E-10,7.99E-09
RN7SL706P,1.784333448,-2.73240909,0.385683084,-4.491794334,7.06E-06,0.000238559
LINC02022,1.545404639,-2.743688182,0.523104475,-3.333345949,0.000858082,0.019277376
B3GAT1,272.277584,-2.749941557,0.21848125,-8.009573149,1.15E-15,1.52E-13
PHGR1,171.4676389,-2.751814765,0.392367866,-4.464725366,8.02E-06,0.000266654
LRFN2,69.61601471,-2.757424062,0.221451516,-7.935931496,2.09E-15,2.70E-13
PNCK,1417.380606,-2.762001096,0.216514191,-8.138039763,4.02E-16,5.48E-14
RNF186,51.60237129,-2.762760794,0.3080533,-5.72225909,1.05E-08,5.51E-07
TPSP2,107.2986035,-2.765656421,0.242662529,-7.276180741,3.43E-13,3.32E-11
SCNN1G,2461.217578,-2.770121596,0.21926,-8.073162453,6.85E-16,9.19E-14
AVPR1B,3.266120482,-2.780360506,0.278388618,-6.395234534,1.60E-10,1.10E-08
RPS27P1,0.93126739,-2.781886268,0.33163599,-5.373018368,7.74E-08,3.59E-06
SLC10A1,18.92341963,-2.787099052,0.241903745,-7.387645259,1.49E-13,1.53E-11
SYNPR,3.161681842,-2.796622287,0.378781398,-4.743163989,2.10E-06,7.81E-05
IRS4,7.666662847,-2.800229932,0.292852599,-6.147221969,7.89E-10,4.92E-08
TRPC6P,6.277467155,-2.812363213,0.259259363,-6.990541021,2.74E-12,2.34E-10
AQP12B,2.406769484,-2.81387127,0.399290696,-4.542733626,5.55E-06,0.00019108
PPY2P,8.731846185,-2.818482725,0.400056574,-4.545563908,5.48E-06,0.000189075
CFAP77,19.11265665,-2.81890502,0.229847144,-7.913541957,2.50E-15,3.18E-13
CYP4F2,48.62221044,-2.821277225,0.266393512,-6.836792734,8.10E-12,6.51E-10
GRM3,27.61751475,-2.835552293,0.220071713,-8.340700724,7.39E-17,1.06E-14
PRAP1,283.6380882,-2.840456889,0.253262953,-7.2669803,3.68E-13,3.51E-11
SEC24AP1,4.018477969,-2.840995008,0.331563392,-5.552467654,2.82E-08,1.39E-06
KRTAP5-11,1.457080532,-2.854704984,0.318752817,-5.818630872,5.93E-09,3.19E-07
HMGCS2,9332.00943,-2.862202291,0.283118943,-6.577455643,4.79E-11,3.42E-09
TEX45,126.6324245,-2.897936596,0.176910554,-10.72822709,7.50E-27,3.04E-24
ACSM6,162.9400067,-2.902815885,0.281708552,-6.754554917,1.43E-11,1.11E-09
LEAP2,217.3264111,-2.91294401,0.17134108,-11.16453806,6.08E-29,3.09E-26
VSTM2A,11.25854613,-2.915785716,0.315543022,-6.071393068,1.27E-09,7.67E-08
FAM167A-AS1,3.184748043,-2.91967543,0.322741328,-5.948031009,2.71E-09,1.57E-07
SPINK4,94.60578522,-2.92285226,0.29011298,-6.627942868,3.40E-11,2.49E-09
UNC13C,72.85595419,-2.92579115,0.348899882,-5.519609637,3.40E-08,1.65E-06
FER1L4,11989.50493,-2.931685808,0.172051372,-11.22737813,2.99E-29,1.70E-26
ACSBG1,187.3522897,-2.937528407,0.200601567,-9.658590578,4.52E-22,1.14E-19
CHIA,7.39439177,-2.98118196,0.362744789,-5.4616414,4.72E-08,2.25E-06
TOX3,1231.057526,-3.008694457,0.276065173,-7.276160328,3.43E-13,3.32E-11
BTBD16,2137.053384,-3.012233778,0.242681668,-8.291659599,1.12E-16,1.57E-14
WFDC13,23.40020998,-3.013599637,0.229434141,-8.776373173,1.69E-18,2.88E-16
ADH6,170.0664472,-3.01842136,0.199364131,-10.12429544,4.31E-24,1.30E-21
VWA5B1,142.6988748,-3.029515755,0.277013367,-7.326418141,2.36E-13,2.35E-11
LINC01933,20.86043538,-3.029626901,0.220304082,-9.212842909,3.18E-20,6.77E-18
ATP4A,13.33112098,-3.047804293,0.273457713,-7.488559274,6.96E-14,7.39E-12
AGAP11,51.4694289,-3.055648169,0.195268271,-10.52730258,6.47E-26,2.41E-23
KRTAP5-9,110.2840045,-3.055687585,0.201129809,-10.2207007,1.60E-24,5.17E-22
LCN15,10.52976402,-3.076069801,0.357660123,-5.804588402,6.45E-09,3.46E-07
ENPP7P2,12.27269615,-3.085122751,0.225863774,-9.2317715,2.66E-20,5.75E-18
ITLN1,275.9637188,-3.089288006,0.310421376,-6.730490132,1.69E-11,1.29E-09
TESC,1368.892962,-3.10883336,0.201754286,-10.45248357,1.43E-25,5.16E-23
MIR7152,3.514493849,-3.136311054,0.301357913,-7.088949601,1.35E-12,1.22E-10
GSTM1,7052.581374,-3.137742485,0.324873628,-6.580227816,4.70E-11,3.37E-09
ZNF861P,3.833558223,-3.1558457,0.336749467,-6.40192758,1.53E-10,1.05E-08
SNTG1,111.8442925,-3.15723541,0.280421785,-7.692823899,1.44E-14,1.68E-12
SNX31,3419.000404,-3.166009085,0.236741266,-9.14926715,5.73E-20,1.18E-17
MOGAT2,234.779634,-3.170295532,0.268278397,-8.089714102,5.98E-16,8.07E-14
DHRS2,50093.67075,-3.246704255,0.22985194,-9.774571651,1.45E-22,3.88E-20
MIR483,5.89261589,-3.264363385,0.487618321,-4.643720891,3.42E-06,0.000122885
RXFP2,4.7723968,-3.28289645,0.629586812,-3.626023303,0.000287819,0.007152357
NPHS2,12.61391169,-3.348733239,0.384702366,-6.105325696,1.03E-09,6.28E-08
OR7E121P,12.07537228,-3.354589388,0.281719972,-8.357907225,6.38E-17,9.30E-15
FMO7P,5.994980636,-3.354761762,0.277955654,-8.471717442,2.42E-17,3.73E-15
BPIFB2,4.759484272,-3.391632469,0.428900871,-5.576189352,2.46E-08,1.22E-06
AVP,3.417783464,-3.403897472,0.379527506,-6.33392161,2.39E-10,1.59E-08
KRTAP5-8,28.19810879,-3.404774936,0.215366435,-11.165969,5.98E-29,3.09E-26
MRGPRD,2.716804737,-3.415957438,0.316146919,-7.641881964,2.14E-14,2.43E-12
KRTAP5-7,12.02845835,-3.470043327,0.219401125,-11.25811606,2.11E-29,1.23E-26
SEMG2,7.78749131,-3.503510368,0.36613183,-6.837729374,8.05E-12,6.49E-10
NPAP1,19.06876275,-3.516247044,0.323224757,-7.784821527,6.98E-15,8.38E-13
TAC3,825.1591829,-3.546390173,0.318819561,-7.986932066,1.38E-15,1.81E-13
MUC2,1019.516109,-3.57347275,0.298689799,-8.615870903,6.94E-18,1.14E-15
UGT2B28,28.46340074,-3.581585167,0.289599679,-8.914323299,4.91E-19,9.30E-17
MSMB,289.8429996,-3.58518244,0.282547736,-9.149542208,5.72E-20,1.18E-17
MYT1,252.0563691,-3.591354211,0.264822036,-9.78526657,1.30E-22,3.53E-20
KRTAP5-10,57.26969571,-3.59374883,0.20936445,-12.38867835,3.01E-35,2.76E-32
GUCA2A,186.3510718,-3.598938846,0.363124392,-7.157158539,8.24E-13,7.63E-11
ATOH1,2.446874695,-3.603576033,0.586823573,-4.436727075,9.13E-06,0.000300443
FMO9P,1189.923896,-3.631254787,0.265594601,-9.907034184,3.88E-23,1.10E-20
GABRR3,14.15730018,-3.643818146,0.304152348,-8.692414052,3.55E-18,5.84E-16
PWRN1,52.93666536,-3.692911588,0.324442416,-8.30012186,1.04E-16,1.48E-14
DGKK,17.33823415,-3.735271462,0.359744854,-7.603365081,2.89E-14,3.20E-12
EVX1-AS,68.75268313,-3.771422556,0.277125806,-10.00059356,1.51E-23,4.52E-21
CTSE,2738.691576,-3.775577875,0.280106368,-9.909013848,3.80E-23,1.09E-20
OR6B3,2.158500341,-3.845450695,0.418962003,-6.791667675,1.11E-11,8.77E-10
NEUROD4,2.443339701,-3.847922647,0.629535613,-4.523846763,6.07E-06,0.00020717
LRTM1,12.37425024,-3.983356617,0.347795952,-8.57789345,9.66E-18,1.56E-15
ZNF350-AS1,606.9123856,-3.994582951,0.269830921,-11.09799775,1.28E-28,6.25E-26
SLC10A2,4.154003715,-4.053570502,0.500909993,-6.096046285,1.09E-09,6.62E-08
C1orf87,3.348743395,-4.057215676,0.403240441,-7.58161971,3.41E-14,3.77E-12
FOXN4,19.48076942,-4.057257097,0.315668947,-9.685010586,3.49E-22,9.06E-20
CCDC198,162.2108007,-4.063136202,0.392401655,-7.806124583,5.90E-15,7.11E-13
MS4A8,44.284716,-4.129018288,0.355403826,-8.804121001,1.32E-18,2.32E-16
MYBPC1,497.7122787,-4.133630294,0.3089648,-10.14235375,3.58E-24,1.10E-21
PM20D1,3490.350732,-4.199873661,0.291844611,-10.96430613,5.67E-28,2.56E-25
CTXND1,223.9748872,-4.204519544,0.242909963,-13.19221123,9.73E-40,1.22E-36
BHMT,2441.318425,-4.208997815,0.287415001,-11.16503248,6.05E-29,3.09E-26
SSTR5-AS1,48.57328349,-4.331170879,0.357200415,-9.325775496,1.10E-20,2.44E-18
SULT2A1,406.2086134,-4.568479289,0.331253921,-10.77264015,4.64E-27,1.94E-24
UGT2A3,35.42312398,-4.570995285,0.459160101,-7.77723342,7.41E-15,8.81E-13
HRH3,49.8524053,-4.630198792,0.305224263,-11.89354593,1.28E-32,1.02E-29
CRH,1730.814933,-4.815419184,0.397951983,-9.587637076,9.01E-22,2.17E-19
LINC00967,179.0058273,-5.010332441,0.364963158,-10.98832131,4.35E-28,2.00E-25
CYP1A1,5876.596611,-5.016059406,0.36913581,-10.8796256,1.44E-27,6.38E-25
SST,69.78597235,-5.05319925,0.425319223,-9.529781458,1.58E-21,3.76E-19
CYP4F8,3014.041773,-5.133637085,0.294623036,-14.03025759,1.02E-44,1.62E-41
PVALB,460.0670294,-5.227365969,0.279178285,-15.14217329,8.53E-52,2.55E-48
CRTAC1,2942.892643,-5.266366403,0.277595727,-15.36899164,2.64E-53,9.02E-50
FMO8P,60.71454126,-5.637109967,0.392753412,-11.80667009,3.61E-32,2.78E-29
CYP1A2,109.6770278,-5.918336372,0.392756399,-12.52261297,5.62E-36,5.83E-33
LINC01541,32.48892561,-7.068444101,0.501299062,-12.10543677,9.88E-34,8.43E-31
CASC22,39.73350542,-7.294406193,0.42765686,-14.71835665,4.91E-49,1.07E-45
