,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Category
TGM1,1335.867633,4.482528188,0.196009903,17.7671033,1.27E-70,3.03E-66,Positive
KRT6B,8398.769071,6.706397671,0.323351663,17.64765217,1.06E-69,1.27E-65,Positive
MYOSLID,76.00517958,4.086684451,0.177005661,17.43833751,4.22E-68,3.36E-64,Positive
KRT6C,2401.321042,6.807752446,0.342918511,16.93624652,2.43E-64,1.45E-60,Positive
SPRR2A,1134.045416,6.01470083,0.309627464,16.19591739,5.39E-59,2.57E-55,Positive
TENM2,826.142793,5.046093433,0.260937901,15.505963,3.16E-54,1.26E-50,Positive
CRTAC1,2942.892643,-5.266366403,0.277595727,-15.36899164,2.64E-53,9.02E-50,Negative
PVALB,460.0670294,-5.227365969,0.279178285,-15.14217329,8.53E-52,2.55E-48,Negative
TM4SF19,85.71368422,3.856952705,0.189260646,15.09533419,1.74E-51,4.61E-48,Positive
SH2D5,117.1420454,3.705313007,0.182217455,14.84661834,7.32E-50,1.75E-46,Positive
CASC22,39.73350542,-7.294406193,0.42765686,-14.71835665,4.91E-49,1.07E-45,Negative
NMRAL2P,229.8700869,4.86133571,0.266813969,14.47201478,1.82E-47,3.62E-44,Positive
IL36G,161.9034814,4.677711533,0.259666399,14.16321689,1.55E-45,2.84E-42,Positive
SLC47A2,89.71343973,4.078123836,0.218861508,14.06425402,6.30E-45,1.07E-41,Positive
CYP4F8,3014.041773,-5.133637085,0.294623036,-14.03025759,1.02E-44,1.62E-41,Negative
LINC00520,34.22703157,4.322289841,0.240622466,13.80706421,2.31E-43,3.45E-40,Positive
SLC7A11,1718.022866,3.54080299,0.187013307,13.58621495,4.83E-42,6.79E-39,Positive
BNC1,616.3101946,5.060168048,0.306797314,13.23404038,5.58E-40,7.40E-37,Positive
CTXND1,223.9748872,-4.204519544,0.242909963,-13.19221123,9.73E-40,1.22E-36,Negative
HEPHL1,336.2478428,3.997525017,0.232307659,12.90325525,4.31E-38,5.15E-35,Positive
KLK10,1292.685179,4.620189701,0.2831368,12.7860091,1.96E-37,2.23E-34,Positive
SPANXB1,25.38764491,7.241588382,0.488638581,12.77342525,2.31E-37,2.51E-34,Positive
CYP1A2,109.6770278,-5.918336372,0.392756399,-12.52261297,5.62E-36,5.83E-33,Negative
SPRR2D,826.6563561,4.820670133,0.305352153,12.51234059,6.39E-36,6.11E-33,Positive
PAEP,43.90327406,4.588280425,0.286722739,12.51480938,6.20E-36,6.11E-33,Positive
KRTAP5-10,57.26969571,-3.59374883,0.20936445,-12.38867835,3.01E-35,2.76E-32,Negative
VSNL1,490.1317946,3.450319299,0.201662786,12.15057746,5.70E-34,5.04E-31,Positive
LINC01541,32.48892561,-7.068444101,0.501299062,-12.10543677,9.88E-34,8.43E-31,Negative
IL31RA,36.71756729,3.688102098,0.22356222,12.02395512,2.66E-33,2.19E-30,Positive
HRH3,49.8524053,-4.630198792,0.305224263,-11.89354593,1.28E-32,1.02E-29,Negative
FMO8P,60.71454126,-5.637109967,0.392753412,-11.80667009,3.61E-32,2.78E-29,Negative
SPRR2E,365.8293038,5.506541862,0.38394589,11.73744004,8.19E-32,6.11E-29,Positive
GBP6,567.1615802,3.55455004,0.218301272,11.70194755,1.25E-31,9.01E-29,Positive
TRIML2,35.90757081,4.916162406,0.335674027,11.66656365,1.89E-31,1.33E-28,Positive
KRT14,49011.20624,4.37203817,0.291250975,11.57777469,5.34E-31,3.64E-28,Positive
MRGPRX3,7.405387879,4.565540018,0.308565102,11.55522772,6.95E-31,4.61E-28,Positive
DSG3,5843.460743,4.557651326,0.309206161,11.50575822,1.23E-30,7.96E-28,Positive
CPA4,611.4516684,3.540619674,0.22298829,11.39351163,4.50E-30,2.83E-27,Positive
RPSAP52,31.90826454,3.450301045,0.215791908,11.35492553,7.01E-30,4.29E-27,Positive
CES1,4412.055651,3.992098378,0.264602683,11.30789131,1.20E-29,7.16E-27,Positive
KRTAP5-7,12.02845835,-3.470043327,0.219401125,-11.25811606,2.11E-29,1.23E-26,Negative
FER1L4,11989.50493,-2.931685808,0.172051372,-11.22737813,2.99E-29,1.70E-26,Negative
HMGA2,916.957532,3.959555449,0.264441315,11.19172869,4.48E-29,2.49E-26,Positive
KRT6A,57880.74337,4.299772657,0.295187879,11.17855067,5.19E-29,2.82E-26,Positive
LEAP2,217.3264111,-2.91294401,0.17134108,-11.16453806,6.08E-29,3.09E-26,Negative
KRTAP5-8,28.19810879,-3.404774936,0.215366435,-11.165969,5.98E-29,3.09E-26,Negative
BHMT,2441.318425,-4.208997815,0.287415001,-11.16503248,6.05E-29,3.09E-26,Negative
KLK5,1014.789336,5.684352746,0.420562941,11.13829177,8.17E-29,4.06E-26,Positive
ZNF350-AS1,606.9123856,-3.994582951,0.269830921,-11.09799775,1.28E-28,6.25E-26,Negative
TGFBI,15983.06731,2.639481824,0.148284607,11.05631834,2.04E-28,9.76E-26,Positive
KLK7,428.9693238,5.120066326,0.373945692,11.01782001,3.14E-28,1.47E-25,Positive
LINC00967,179.0058273,-5.010332441,0.364963158,-10.98832131,4.35E-28,2.00E-25,Negative
PM20D1,3490.350732,-4.199873661,0.291844611,-10.96430613,5.67E-28,2.56E-25,Negative
CYP1A1,5876.596611,-5.016059406,0.36913581,-10.8796256,1.44E-27,6.38E-25,Negative
CD109,2125.271012,2.553183666,0.142856479,10.87233618,1.56E-27,6.78E-25,Positive
SPINK6,29.71859519,4.39595649,0.313400924,10.83582157,2.33E-27,9.93E-25,Positive
SULT2A1,406.2086134,-4.568479289,0.331253921,-10.77264015,4.64E-27,1.94E-24,Negative
TBX3,8229.234391,-2.487311372,0.138393364,-10.74698475,6.12E-27,2.52E-24,Negative
TEX45,126.6324245,-2.897936596,0.176910554,-10.72822709,7.50E-27,3.04E-24,Negative
PI3,12164.29399,4.283638793,0.307408761,10.68166951,1.24E-26,4.94E-24,Positive
LINC00942,73.11821539,3.359241868,0.222782043,10.58991039,3.32E-26,1.30E-23,Positive
TNIP3,59.30144176,3.032593394,0.192127358,10.57940636,3.71E-26,1.43E-23,Positive
HHIPL2,45.35495868,3.180325324,0.20666093,10.55025408,5.07E-26,1.92E-23,Positive
AGAP11,51.4694289,-3.055648169,0.195268271,-10.52730258,6.47E-26,2.41E-23,Negative
CRNN,98.82844202,5.969942156,0.474146551,10.48186925,1.05E-25,3.85E-23,Positive
TESC,1368.892962,-3.10883336,0.201754286,-10.45248357,1.43E-25,5.16E-23,Negative
KLK6,1290.730614,4.596386609,0.345250283,10.41675209,2.08E-25,7.41E-23,Positive
KLK14,108.5392458,3.371753157,0.22803764,10.40070908,2.46E-25,8.64E-23,Positive
FGFBP1,2710.738164,3.76432144,0.266961171,10.3547697,3.98E-25,1.38E-22,Positive
KRT5,112059.2742,3.646553286,0.256720361,10.30908992,6.41E-25,2.19E-22,Positive
ROS1,83.97795803,3.993628345,0.290551291,10.30326981,6.81E-25,2.29E-22,Positive
RHCG,2631.039439,3.501117473,0.243107532,10.28811182,7.97E-25,2.64E-22,Positive
KRT1,1303.589203,4.234484374,0.314499292,10.28455215,8.27E-25,2.71E-22,Positive
KRTAP5-9,110.2840045,-3.055687585,0.201129809,-10.2207007,1.60E-24,5.17E-22,Negative
LAMC2,15635.00999,2.773573681,0.174266212,10.17738127,2.50E-24,7.97E-22,Positive
KRT75,206.4460536,4.812517195,0.374845767,10.17089569,2.67E-24,8.40E-22,Positive
STEAP1B,89.4028967,3.135357889,0.210308131,10.15347282,3.20E-24,9.92E-22,Positive
MYBPC1,497.7122787,-4.133630294,0.3089648,-10.14235375,3.58E-24,1.10E-21,Negative
ADH6,170.0664472,-3.01842136,0.199364131,-10.12429544,4.31E-24,1.30E-21,Negative
EVX1-AS,68.75268313,-3.771422556,0.277125806,-10.00059356,1.51E-23,4.52E-21,Negative
SPRR1B,3734.303466,3.814644911,0.281565595,9.996409239,1.58E-23,4.66E-21,Positive
PICSAR,141.1136613,3.748065203,0.275192594,9.985970765,1.76E-23,5.11E-21,Positive
CTSE,2738.691576,-3.775577875,0.280106368,-9.909013848,3.80E-23,1.09E-20,Negative
FMO9P,1189.923896,-3.631254787,0.265594601,-9.907034184,3.88E-23,1.10E-20,Negative
LUCAT1,32.63841496,3.017420684,0.205085502,9.836973696,7.80E-23,2.19E-20,Positive
MAGEB2,95.25901641,4.742430726,0.381745502,9.803470403,1.09E-22,3.02E-20,Positive
NLRP10,9.423182626,3.609769957,0.266271794,9.801150623,1.11E-22,3.06E-20,Positive
MYT1,252.0563691,-3.591354211,0.264822036,-9.78526657,1.30E-22,3.53E-20,Negative
DHRS2,50093.67075,-3.246704255,0.22985194,-9.774571651,1.45E-22,3.88E-20,Negative
S100A7,6537.035253,4.278633735,0.335896112,9.760856461,1.66E-22,4.40E-20,Positive
SOST,39.15006324,4.366650845,0.346132564,9.726478224,2.33E-22,6.10E-20,Positive
FOXN4,19.48076942,-4.057257097,0.315668947,-9.685010586,3.49E-22,9.06E-20,Negative
CDA,502.6387196,2.640209257,0.169423346,9.681128954,3.63E-22,9.31E-20,Positive
LGALS7,407.9990998,4.002071321,0.310343737,9.673374909,3.91E-22,9.94E-20,Positive
ACSBG1,187.3522897,-2.937528407,0.200601567,-9.658590578,4.52E-22,1.14E-19,Negative
KLK13,135.0137442,4.001025383,0.311609209,9.630733922,5.93E-22,1.48E-19,Positive
MT1L,147.7560914,2.724362059,0.17910764,9.627518166,6.12E-22,1.51E-19,Positive
MEFV,71.34063993,2.55240738,0.16184496,9.591941461,8.64E-22,2.11E-19,Positive
CRH,1730.814933,-4.815419184,0.397951983,-9.587637076,9.01E-22,2.17E-19,Negative
SST,69.78597235,-5.05319925,0.425319223,-9.529781458,1.58E-21,3.76E-19,Negative
RGS20,165.4584342,2.53142597,0.161126611,9.504488185,2.01E-21,4.75E-19,Positive
ST3GAL5,2162.322977,-2.232539587,0.129820448,-9.494186794,2.22E-21,5.20E-19,Negative
ZFP42,17.14116513,4.324869251,0.350916795,9.474807992,2.67E-21,6.20E-19,Positive
C6orf15,36.8960468,4.401137217,0.360199741,9.442364424,3.64E-21,8.37E-19,Positive
AATBC,1210.817013,-2.546765792,0.164061581,-9.427958577,4.18E-21,9.51E-19,Negative
ZNF737,810.093916,-2.520646094,0.162033472,-9.384765207,6.31E-21,1.42E-18,Negative
C20orf141,9.353562721,4.167797773,0.338072564,9.370171121,7.24E-21,1.62E-18,Positive
SSTR5-AS1,48.57328349,-4.331170879,0.357200415,-9.325775496,1.10E-20,2.44E-18,Negative
ABCA4,476.6676172,3.033311155,0.219969173,9.243618667,2.38E-20,5.22E-18,Positive
F3,3990.27365,2.49646251,0.162107309,9.231308048,2.67E-20,5.75E-18,Positive
ENPP7P2,12.27269615,-3.085122751,0.225863774,-9.2317715,2.66E-20,5.75E-18,Negative
LINC01933,20.86043538,-3.029626901,0.220304082,-9.212842909,3.18E-20,6.77E-18,Negative
KRT34,48.18006885,3.65280953,0.288805963,9.185438925,4.10E-20,8.66E-18,Positive
PPFIBP2,3793.352698,-2.06861082,0.116531583,-9.17013904,4.72E-20,9.90E-18,Negative
SNX31,3419.000404,-3.166009085,0.236741266,-9.14926715,5.73E-20,1.18E-17,Negative
MSMB,289.8429996,-3.58518244,0.282547736,-9.149542208,5.72E-20,1.18E-17,Negative
MYCL,6453.671951,-2.348452794,0.147704196,-9.129414242,6.89E-20,1.41E-17,Negative
TMPRSS11F,17.58749393,4.331297185,0.366106949,9.099245973,9.10E-20,1.84E-17,Positive
LINC02454,10.15142341,2.90473159,0.209477568,9.092771169,9.65E-20,1.94E-17,Positive
LAMA3,6188.563989,2.744393398,0.191901655,9.090038309,9.90E-20,1.97E-17,Positive
SERPINB7,291.8276789,3.655196645,0.292611734,9.074129088,1.15E-19,2.26E-17,Positive
LINC02561,8.174132461,3.037552516,0.224748398,9.065926753,1.24E-19,2.42E-17,Positive
PPBP,22.08363372,3.215048681,0.24476437,9.049718638,1.43E-19,2.78E-17,Positive
CDH16,18.86438323,3.611504433,0.291711263,8.952360661,3.48E-19,6.70E-17,Positive
GDF7,387.346266,-2.415152971,0.158359977,-8.936304485,4.02E-19,7.69E-17,Negative
UGT2B28,28.46340074,-3.581585167,0.289599679,-8.914323299,4.91E-19,9.30E-17,Negative
CXCL5,518.9514269,3.286208761,0.257080124,8.892981413,5.95E-19,1.12E-16,Positive
ACOXL,553.3426795,-2.70237285,0.191691176,-8.880809696,6.64E-19,1.24E-16,Negative
S100A8,28078.33316,3.257363362,0.254580105,8.867006178,7.51E-19,1.39E-16,Positive
CDSN,12.10505706,3.8446255,0.32147041,8.848794204,8.85E-19,1.61E-16,Positive
TMPRSS11A,82.58465911,3.425300432,0.274044767,8.85001548,8.75E-19,1.61E-16,Positive
NEFL,118.7403492,3.823963625,0.319435623,8.840478098,9.53E-19,1.72E-16,Positive
CCDC190,163.5631048,3.821482528,0.320188257,8.811948808,1.23E-18,2.18E-16,Positive
CD70,100.6560726,2.784098078,0.202438446,8.813039799,1.22E-18,2.18E-16,Positive
TDH,71.13367758,-2.652656657,0.187540275,-8.812275956,1.23E-18,2.18E-16,Negative
MS4A8,44.284716,-4.129018288,0.355403826,-8.804121001,1.32E-18,2.32E-16,Negative
PTHLH,2012.648098,2.930280945,0.219430179,8.796788816,1.41E-18,2.45E-16,Positive
VNN1,103.5714779,2.673852012,0.190455944,8.788657233,1.51E-18,2.62E-16,Positive
KSR2,241.0479262,-2.679322054,0.191240058,-8.781225406,1.62E-18,2.78E-16,Negative
WFDC13,23.40020998,-3.013599637,0.229434141,-8.776373173,1.69E-18,2.88E-16,Negative
LINC00460,42.98110677,3.409251867,0.274548238,8.775331723,1.70E-18,2.89E-16,Positive
TFPI2,1310.460811,2.812613909,0.206773565,8.766178166,1.85E-18,3.11E-16,Positive
KLK8,265.4988144,4.301394767,0.377163711,8.753214233,2.07E-18,3.46E-16,Positive
FOXC2,92.00321012,2.714436908,0.196339798,8.731988741,2.50E-18,4.15E-16,Positive
GABRR3,14.15730018,-3.643818146,0.304152348,-8.692414052,3.55E-18,5.84E-16,Negative
MUC2,1019.516109,-3.57347275,0.298689799,-8.615870903,6.94E-18,1.14E-15,Negative
ANPEP,1917.071431,2.555330418,0.181028906,8.591613647,8.58E-18,1.39E-15,Positive
LRTM1,12.37425024,-3.983356617,0.347795952,-8.57789345,9.66E-18,1.56E-15,Negative
SLC16A1,2883.479118,2.305965537,0.152852832,8.54394071,1.30E-17,2.08E-15,Positive
INSL4,6.585615501,4.0731469,0.360065346,8.534969934,1.40E-17,2.22E-15,Positive
RAET1L,77.70220594,2.92412837,0.225449878,8.534617056,1.41E-17,2.22E-15,Positive
SPRR2F,27.35460917,3.791422021,0.327364112,8.526964063,1.50E-17,2.36E-15,Positive
MT2A,12602.4593,2.385526933,0.163106257,8.49462771,1.99E-17,3.10E-15,Positive
SERPINB1,6281.600494,1.958837647,0.112952377,8.488866474,2.09E-17,3.24E-15,Positive
FMO7P,5.994980636,-3.354761762,0.277955654,-8.471717442,2.42E-17,3.73E-15,Negative
LINC01179,4.512037282,4.708906311,0.438802856,8.452329475,2.86E-17,4.37E-15,Positive
MELTF,1699.523488,2.3408548,0.159413122,8.411194649,4.06E-17,6.17E-15,Positive
KRT24,94.22940015,3.830453394,0.336721796,8.405910836,4.25E-17,6.42E-15,Positive
FGF5,31.174041,3.163178249,0.257668495,8.395198821,4.65E-17,6.99E-15,Positive
ACOXL-AS1,30.85545678,-2.313202807,0.156667844,-8.382082563,5.20E-17,7.76E-15,Negative
CYP4F12,1746.041923,-2.655420222,0.19758569,-8.378239457,5.37E-17,7.97E-15,Negative
AKR1C7P,8.856811955,2.912987594,0.228383279,8.376215646,5.47E-17,8.06E-15,Positive
CTSV,969.3407018,2.480586434,0.176962716,8.366657514,5.93E-17,8.68E-15,Positive
OR7E121P,12.07537228,-3.354589388,0.281719972,-8.357907225,6.38E-17,9.30E-15,Negative
S100A7A,593.9821671,4.613869985,0.432596584,8.353903204,6.60E-17,9.56E-15,Positive
GRM3,27.61751475,-2.835552293,0.220071713,-8.340700724,7.39E-17,1.06E-14,Negative
TCHH,144.1151716,2.70500367,0.205297177,8.305051717,9.98E-17,1.43E-14,Positive
PWRN1,52.93666536,-3.692911588,0.324442416,-8.30012186,1.04E-16,1.48E-14,Negative
PTGDR2,37.53094396,-2.4794256,0.178297523,-8.297510665,1.06E-16,1.50E-14,Negative
BTBD16,2137.053384,-3.012233778,0.242681668,-8.291659599,1.12E-16,1.57E-14,Negative
ZNF66,198.1880051,-2.232705063,0.149735913,-8.23252778,1.83E-16,2.56E-14,Negative
KLK11,421.7780817,3.525496168,0.307381408,8.216164357,2.10E-16,2.92E-14,Positive
CT62,14.48842711,2.72747648,0.210856827,8.192651404,2.56E-16,3.53E-14,Positive
TMPRSS11D,276.9993248,3.860976887,0.35040683,8.164729226,3.22E-16,4.42E-14,Positive
PNCK,1417.380606,-2.762001096,0.216514191,-8.138039763,4.02E-16,5.48E-14,Negative
SBSN,2265.418427,3.410549274,0.297258831,8.109260417,5.09E-16,6.91E-14,Positive
MOGAT2,234.779634,-3.170295532,0.268278397,-8.089714102,5.98E-16,8.07E-14,Negative
SCNN1G,2461.217578,-2.770121596,0.21926,-8.073162453,6.85E-16,9.19E-14,Negative
SPHK1,1744.147115,2.127868539,0.140160718,8.046966053,8.49E-16,1.13E-13,Positive
EPGN,125.5570246,3.010514389,0.250005704,8.041874069,8.85E-16,1.17E-13,Positive
B3GAT1,272.277584,-2.749941557,0.21848125,-8.009573149,1.15E-15,1.52E-13,Negative
EML6,332.1552717,-2.246182274,0.155991737,-7.988771075,1.36E-15,1.79E-13,Negative
TAC3,825.1591829,-3.546390173,0.318819561,-7.986932066,1.38E-15,1.81E-13,Negative
PLIN5,570.3806141,-2.381345642,0.173191702,-7.975818842,1.51E-15,1.96E-13,Negative
LRFN2,69.61601471,-2.757424062,0.221451516,-7.935931496,2.09E-15,2.70E-13,Negative
GATA3-AS1,631.680172,-2.611704141,0.203371177,-7.924938866,2.28E-15,2.92E-13,Negative
PTPRR,863.1351272,-2.710500835,0.21584421,-7.924701045,2.29E-15,2.92E-13,Negative
CFAP77,19.11265665,-2.81890502,0.229847144,-7.913541957,2.50E-15,3.18E-13,Negative
IL12RB2,113.9012029,2.431884123,0.181299019,7.897914366,2.84E-15,3.58E-13,Positive
RPE65,24.22256259,3.617011575,0.332447756,7.871948381,3.49E-15,4.39E-13,Positive
TNC,7783.89105,2.329613115,0.168919002,7.871305785,3.51E-15,4.39E-13,Positive
RNU4-78P,5.032179117,-2.55996812,0.198564112,-7.856244034,3.96E-15,4.92E-13,Negative
OR13A1,84.30374917,-2.366557848,0.173993315,-7.854082494,4.03E-15,4.98E-13,Negative
MRLN,8.137854214,3.33346422,0.297614591,7.840557186,4.49E-15,5.52E-13,Positive
IL1R2,303.3079992,2.301984311,0.166072645,7.839848121,4.51E-15,5.52E-13,Positive
RPRM,96.97299035,-2.534796097,0.195793971,-7.838832277,4.55E-15,5.54E-13,Negative
ZNF888,96.43684158,-2.00241108,0.127977307,-7.832725209,4.77E-15,5.79E-13,Negative
CCDC198,162.2108007,-4.063136202,0.392401655,-7.806124583,5.90E-15,7.11E-13,Negative
NPAP1,19.06876275,-3.516247044,0.323224757,-7.784821527,6.98E-15,8.38E-13,Negative
EVA1A,255.379984,2.308338261,0.16815769,7.780424818,7.23E-15,8.63E-13,Positive
UGT2A3,35.42312398,-4.570995285,0.459160101,-7.77723342,7.41E-15,8.81E-13,Negative
GSDMC,560.7468644,2.505878577,0.19389231,7.766571972,8.06E-15,9.53E-13,Positive
OVGP1,312.2808245,-2.141640025,0.148170078,-7.704929652,1.31E-14,1.54E-12,Negative
SNTG1,111.8442925,-3.15723541,0.280421785,-7.692823899,1.44E-14,1.68E-12,Negative
RPL37P1,16.78877402,-2.23998616,0.161365308,-7.684341679,1.54E-14,1.79E-12,Negative
ATF7IP2,1180.239775,-1.896350483,0.116939471,-7.6650807,1.79E-14,2.07E-12,Negative
ZBED2,317.1753305,2.621763873,0.211699529,7.660687223,1.85E-14,2.13E-12,Positive
NRG1,455.1053029,2.662026015,0.217337721,7.647204596,2.05E-14,2.35E-12,Positive
TEKT5,83.1033773,-2.475085399,0.192890432,-7.647270949,2.05E-14,2.35E-12,Negative
MRGPRD,2.716804737,-3.415957438,0.316146919,-7.641881964,2.14E-14,2.43E-12,Negative
VSIG2,5869.842829,-2.479973403,0.19389858,-7.632719143,2.30E-14,2.60E-12,Negative
SIGLEC15,411.5173322,-2.3301975,0.17452042,-7.622016375,2.50E-14,2.81E-12,Negative
WSCD2,461.7797934,-2.635246961,0.214630284,-7.618901351,2.56E-14,2.87E-12,Negative
VIPR1,1232.808375,-2.120239605,0.147052812,-7.617940731,2.58E-14,2.88E-12,Negative
DGKK,17.33823415,-3.735271462,0.359744854,-7.603365081,2.89E-14,3.20E-12,Negative
C1orf87,3.348743395,-4.057215676,0.403240441,-7.58161971,3.41E-14,3.77E-12,Negative
SERPINB2,1144.525141,3.092317757,0.276046669,7.57957979,3.47E-14,3.82E-12,Positive
SAA1,1525.781965,3.001290112,0.264073896,7.578523057,3.50E-14,3.83E-12,Positive
IGF2BP2,1372.455305,2.332219083,0.176204036,7.560661583,4.01E-14,4.37E-12,Positive
BARX2,750.0961809,2.651321959,0.21870838,7.550336941,4.34E-14,4.71E-12,Positive
TREML3P,12.61126322,2.636777031,0.218038989,7.506808927,6.06E-14,6.55E-12,Positive
TBX2-AS1,519.2488032,-2.358921824,0.181092245,-7.504031019,6.19E-14,6.66E-12,Negative
TCHHL1,13.18132791,4.050911162,0.407202216,7.492373667,6.76E-14,7.21E-12,Positive
RHOD,2143.522884,1.927880146,0.123835947,7.492817463,6.74E-14,7.21E-12,Positive
ATP4A,13.33112098,-3.047804293,0.273457713,-7.488559274,6.96E-14,7.39E-12,Negative
TTC23L,66.09100905,-2.102300972,0.147394621,-7.478569849,7.51E-14,7.92E-12,Negative
PPM1N,396.0802454,-2.236844862,0.165391646,-7.478278933,7.53E-14,7.92E-12,Negative
FAM174B,4151.206756,-2.069356506,0.143022918,-7.476819244,7.61E-14,7.98E-12,Negative
LRRC38,12.6438369,3.031816235,0.271792754,7.475608537,7.68E-14,8.01E-12,Positive
FLG,103.0767944,2.889399433,0.253456457,7.454532648,9.02E-14,9.36E-12,Positive
FBP1,4701.07055,-2.104797539,0.148561574,-7.436630565,1.03E-13,1.07E-11,Negative
SPRR2G,48.16751972,4.036399501,0.40974311,7.410495561,1.26E-13,1.30E-11,Positive
CSF2,55.38631063,2.55808803,0.21058806,7.398748215,1.37E-13,1.41E-11,Positive
SLC10A1,18.92341963,-2.787099052,0.241903745,-7.387645259,1.49E-13,1.53E-11,Negative
CASQ1,455.2571306,-2.53935199,0.208636566,-7.378150527,1.61E-13,1.63E-11,Negative
GAL,152.5159255,2.882169449,0.255873068,7.355871653,1.90E-13,1.92E-11,Positive
DSC2,4349.579391,2.284794138,0.174701019,7.354245225,1.92E-13,1.93E-11,Positive
LINC01711,27.99568851,2.613650133,0.219846233,7.339903478,2.14E-13,2.14E-11,Positive
SPRR4,22.48521884,3.53948977,0.346229702,7.334696463,2.22E-13,2.22E-11,Positive
VWA5B1,142.6988748,-3.029515755,0.277013367,-7.326418141,2.36E-13,2.35E-11,Negative
CDH18,29.11470209,3.803639279,0.382923581,7.321667876,2.45E-13,2.43E-11,Positive
MIR548AN,4.319433807,-2.656149377,0.226432123,-7.31410967,2.59E-13,2.56E-11,Negative
ATP1A4,504.4662261,-2.693792883,0.231776551,-7.307869898,2.71E-13,2.67E-11,Negative
HKDC1,154.1354784,2.65326559,0.226369871,7.303381769,2.81E-13,2.75E-11,Positive
LGALS9B,14.21768097,2.867878396,0.256181701,7.291224907,3.07E-13,2.99E-11,Positive
TPSP2,107.2986035,-2.765656421,0.242662529,-7.276180741,3.43E-13,3.32E-11,Negative
TOX3,1231.057526,-3.008694457,0.276065173,-7.276160328,3.43E-13,3.32E-11,Negative
CARD17,23.64895998,2.808356077,0.248560978,7.275301595,3.46E-13,3.33E-11,Positive
LINC00452,4.719379615,3.209493772,0.303739819,7.274297399,3.48E-13,3.34E-11,Positive
PRAP1,283.6380882,-2.840456889,0.253262953,-7.2669803,3.68E-13,3.51E-11,Negative
KEL,77.93446491,-2.375016726,0.190163353,-7.230713501,4.80E-13,4.57E-11,Negative
GPR68,732.8353294,1.971166783,0.134769018,7.206157602,5.76E-13,5.45E-11,Positive
PLA2G4E,316.5512071,2.986282946,0.275813009,7.201556412,5.95E-13,5.60E-11,Positive
AKR1B10,4455.903561,2.974972727,0.274235127,7.201749637,5.94E-13,5.60E-11,Positive
ALDH3A1,3057.050993,2.877973006,0.261592285,7.179007604,7.02E-13,6.58E-11,Positive
PKP1,9816.675589,2.401549856,0.195283296,7.177008412,7.13E-13,6.65E-11,Positive
KLK12,23.11975329,3.552803485,0.356686819,7.15698856,8.25E-13,7.63E-11,Positive
GUCA2A,186.3510718,-3.598938846,0.363124392,-7.157158539,8.24E-13,7.63E-11,Negative
CLDN6,27.25952766,2.832078648,0.257032497,7.127809407,1.02E-12,9.38E-11,Positive
ATOH8,697.1142828,-2.354433491,0.190027315,-7.127572649,1.02E-12,9.38E-11,Negative
MFAP3L,1244.868487,-1.979563047,0.137566004,-7.120676753,1.07E-12,9.83E-11,Negative
LINC01303,22.94257137,2.212759621,0.170654959,7.106500899,1.19E-12,1.08E-10,Positive
ADAM23,433.9024475,2.275556911,0.179690808,7.09862082,1.26E-12,1.14E-10,Positive
MIR7152,3.514493849,-3.136311054,0.301357913,-7.088949601,1.35E-12,1.22E-10,Negative
S100A10,17711.57372,1.817348124,0.11544467,7.07999881,1.44E-12,1.30E-10,Positive
TMEM97,7584.388263,-2.003663192,0.141819408,-7.077051038,1.47E-12,1.32E-10,Negative
LINC02057,4.37812709,2.920575977,0.271456206,7.075085895,1.49E-12,1.34E-10,Positive
CYP2C8,42.79462464,-2.297759027,0.183456771,-7.073922768,1.51E-12,1.34E-10,Negative
GAS2,88.11727667,-2.395587344,0.197476618,-7.06710169,1.58E-12,1.40E-10,Negative
KLK9,1.808741142,4.439473932,0.48678998,7.065621881,1.60E-12,1.41E-10,Positive
NOD2,291.9903072,1.999146077,0.141553029,7.058457756,1.68E-12,1.48E-10,Positive
KCNH4,73.41238597,-2.199582765,0.169940729,-7.058830309,1.68E-12,1.48E-10,Negative
DSG1,289.4374864,3.017347532,0.285998031,7.053711264,1.74E-12,1.52E-10,Positive
ANKRD1,61.45271122,2.752484171,0.248430108,7.054234217,1.74E-12,1.52E-10,Positive
SULF2,5689.546733,2.091054965,0.155492459,7.01677091,2.27E-12,1.97E-10,Positive
CDH23,1046.385523,-2.108494553,0.158006127,-7.01551625,2.29E-12,1.98E-10,Negative
FBP2,22.39206766,-2.228509087,0.175142858,-7.014325901,2.31E-12,1.99E-10,Negative
SLC5A1,69.89834634,3.1274934,0.303861728,7.001518139,2.53E-12,2.18E-10,Positive
TRPC6P,6.277467155,-2.812363213,0.259259363,-6.990541021,2.74E-12,2.34E-10,Negative
CYTOR,780.9138525,1.849316647,0.121820631,6.971862142,3.13E-12,2.67E-10,Positive
LINC01615,103.4123752,2.349931713,0.193685045,6.969726096,3.18E-12,2.70E-10,Positive
ANXA1,22115.72696,1.944784527,0.135759894,6.959231454,3.42E-12,2.90E-10,Positive
NT5E,1741.560664,2.095180615,0.157757312,6.942186059,3.86E-12,3.26E-10,Positive
TMEM51-AS1,439.5363092,-1.952744982,0.137620108,-6.923007091,4.42E-12,3.72E-10,Negative
SPP1,10214.60259,2.330675137,0.192914717,6.897737814,5.28E-12,4.43E-10,Positive
ERICH5,375.4533735,-2.182285689,0.171641002,-6.888130895,5.65E-12,4.72E-10,Negative
