,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Category
MIR410,0.04569779,-0.109322264,1.58603728,0,1,NA,Neutral
RPL17P37,0.111533032,-0.109902774,0.707297274,0,1,NA,Neutral
RNU6-46P,0.13182118,-0.110167252,0.540765195,0,1,NA,Neutral
LINC02368,0.147850304,-0.11033475,1.043378579,0,1,NA,Neutral
LINC01520,0.087779328,-0.110335042,1.095652404,0,1,NA,Neutral
OR8G2P,0.086015133,-0.110335221,1.136899241,0,1,NA,Neutral
RN7SL415P,0.081088904,-0.110335389,1.564114049,0,1,NA,Neutral
GAGE12H,0.030319435,-0.110912898,2.74130869,0,1,NA,Neutral
SNORD114-23,0.042977314,-0.110913509,2.670366026,0,1,NA,Neutral
MTND2P14,0.043045052,-0.110916963,2.218744554,0,1,NA,Neutral
MIR7-3,0.035897629,-0.110917943,2.067302308,0,1,NA,Neutral
RPL32P14,0.045458869,-0.110918081,2.044554083,0,1,NA,Neutral
RNU2-57P,0.030455668,-0.11091871,1.9366063,0,1,NA,Neutral
TAS2R16,0.047841635,-0.110918939,1.894918455,0,1,NA,Neutral
MIR8053,0.028612693,-0.110919356,1.814561449,0,1,NA,Neutral
RPS15AP7,0.038591401,-0.110919475,1.790538958,0,1,NA,Neutral
RNU6-505P,0.03287159,-0.110919927,1.693301039,0,1,NA,Neutral
RPS27P5,0.035203791,-0.110920639,1.508378715,0,1,NA,Neutral
RNU6-435P,0.115700769,-0.11127479,1.646135884,0,1,NA,Neutral
MIR670HG,0.056693346,-0.112270546,1.187765929,0,1,NA,Neutral
RNU6-144P,0.056436961,-0.112271034,1.238513946,0,1,NA,Neutral
RN7SKP207,0.06840176,-0.1122712,2.171976492,0,1,NA,Neutral
OR52J3,0.058227081,-0.112272358,1.491079452,0,1,NA,Neutral
MIR520C,0.062050474,-0.112272471,1.765166198,0,1,NA,Neutral
RN7SKP256,0.06579137,-0.112272476,1.760833457,0,1,NA,Neutral
LINC01445,0.051382374,-0.112272543,1.675481096,0,1,NA,Neutral
SNORD114-2,0.062209823,-0.112272546,1.66129424,0,1,NA,Neutral
SNORA70E,0.068943788,-0.112272547,1.6543886,0,1,NA,Neutral
LINC01591,0.126822366,-0.112350391,0.886831567,0,1,NA,Neutral
RN7SKP158,0.127348851,-0.112352493,0.774156303,0,1,NA,Neutral
RNU6-1057P,0.10286311,-0.11266394,0.693736649,0,1,NA,Neutral
RPL7P5,0.147452874,-0.112900134,0.467716028,0,1,NA,Neutral
RPS15AP34,0.078994095,-0.113211961,0.90114595,0,1,NA,Neutral
LINC01038,0.088899825,-0.113212883,1.098360627,0,1,NA,Neutral
LINC02165,0.03822736,-0.113908992,1.919092683,0,1,NA,Neutral
RNU7-194P,0.049611769,-0.1139091,1.895031376,0,1,NA,Neutral
LINC00290,0.042660428,-0.113909908,1.67854124,0,1,NA,Neutral
OR11H12,0.03220902,-0.113910633,1.601126338,0,1,NA,Neutral
RPS19P6,0.042972571,-0.11391084,1.297305162,0,1,NA,Neutral
NDE1P2,0.044447814,-0.113910887,1.423451139,0,1,NA,Neutral
OR6K2,0.044307835,-0.113910887,1.423688856,0,1,NA,Neutral
CDH12P1,0.03785112,-0.113910892,1.363727183,0,1,NA,Neutral
NCOR1P1,0.122517019,-0.114076923,1.029327239,0,1,NA,Neutral
RNU4-30P,0.133097617,-0.114154822,1.235635072,0,1,NA,Neutral
LINC00396,0.105801907,-0.114158932,0.856488172,0,1,NA,Neutral
MIR6780A,0.099144772,-0.114477951,0.60350889,0,1,NA,Neutral
PRR23A,0.0644488,-0.115146789,1.058593794,0,1,NA,Neutral
OR5K3,0.017811669,-0.115542639,2.999741277,0,1,NA,Neutral
RNU6-1159P,0.028425773,-0.115542639,2.999741277,0,1,NA,Neutral
SNORD114-15,0.024693728,-0.115542639,2.999741277,0,1,NA,Neutral
SNORD115-33,0.030296129,-0.115542639,2.999741277,0,1,NA,Neutral
RNU6-924P,0.021004579,-0.115544478,2.810677403,0,1,NA,Neutral
RPL23AP24,0.022692372,-0.115544627,2.79476474,0,1,NA,Neutral
UBA52P9,0.018638006,-0.115546787,2.553544377,0,1,NA,Neutral
MTND6P16,0.025207703,-0.115547228,2.501447824,0,1,NA,Neutral
OR4D8P,0.02698265,-0.115547312,2.491318291,0,1,NA,Neutral
SNRPCP15,0.0187722,-0.115548662,2.323865014,0,1,NA,Neutral
RNU1-52P,0.023384936,-0.115548902,2.292821106,0,1,NA,Neutral
MIR4665,0.153257107,-0.115786045,0.452259938,0,1,NA,Neutral
MIR6796,0.096079488,-0.11609034,0.873449243,0,1,NA,Neutral
RNU6-588P,0.074248503,-0.116216317,1.059731292,0,1,NA,Neutral
TRAJ61,0.043154411,-0.116469691,1.501782448,0,1,NA,Neutral
MTND5P4,0.046590408,-0.11647118,1.357950077,0,1,NA,Neutral
SNORD116-11,0.07085653,-0.116897796,2.353490779,0,1,NA,Neutral
MIR519B,0.051528422,-0.116900074,1.895159016,0,1,NA,Neutral
FMO11P,0.047546447,-0.116900288,1.295725403,0,1,NA,Neutral
