sample,DSC1,MDGA2,DLX1,GGT2,GNLY,UGT2B4
TCGA-S5-AA26-01A,0.08839,0,0.1137,0.0886,0.1984,0.4829
TCGA-SY-A9G0-01A,0.0196,0.02035,0.04539,0,0.6373,0.6007
TCGA-SY-A9G5-01A,0.04263,0,0.1258,0,4.788,0
TCGA-UY-A78K-01A,0.03804,0,0.02971,0.04564,3.875,0.0541
TCGA-UY-A78N-01A,0.03472,0.003038,0.02711,0.09211,0.5294,0.5038
TCGA-UY-A78O-01A,0.08149,0.003952,0.7153,0.3084,0.3236,0.9032
TCGA-UY-A78P-01A,0,0.01135,0,0.02617,3.535,0.7097
TCGA-UY-A8OB-01A,0.06443,0,0.1562,0,4.205,0
TCGA-UY-A8OD-01A,0,0,0.03741,0.5724,0.9299,0.1073
TCGA-UY-A9PA-01A,0.03842,0,0.02257,0.05176,2.29,0
TCGA-UY-A9PB-01A,0.1455,0,1.106,0,4.51,0.1468
TCGA-UY-A9PE-01A,0.07467,0,0.1554,0.7407,0.4298,1.652
TCGA-UY-A9PF-01A,0.07166,0,0,0.1667,0.8544,0.08169
TCGA-UY-A9PH-01A,0.01214,0,0.01418,1.469,3.674,0.4153
TCGA-XF-A8HD-01A,0.02227,0.01161,0.04517,0,4.937,0
TCGA-XF-A8HE-01A,0.04182,0.007325,0.04073,0.0253,3.807,0
TCGA-XF-A8HF-01A,0.04316,0,0.03372,1.413,1.343,0.03711
TCGA-XF-A8HG-01A,0.039,0,0.01836,0.9259,0.07547,0
TCGA-XF-A8HH-01A,0.008069,0,0.02808,0.01453,0.9042,0.1577
TCGA-XF-A9SI-01A,0.007714,0,0.05322,0,3.738,0
TCGA-XF-A9SJ-01A,0.02248,0,0.01754,0.05351,3.358,0
TCGA-XF-A9SK-01A,0.06844,0,0.2442,0,1.743,0.05891
TCGA-XF-A9SL-01A,0.03766,0.003957,0.0265,0.04073,1.478,0
TCGA-XF-A9SM-01A,0.2209,0.1967,0.04574,0,4.219,0.01359
TCGA-XF-A9SP-01A,0.07119,0,0.0466,0.4274,1.071,0.05461
TCGA-XF-A9SX-01A,0,0.0225,0.1339,0,2.922,0
TCGA-XF-A9SY-01A,0.07191,0.01901,0.9783,0,4.746,0.01573
TCGA-XF-A9T0-01A,0.05039,0,0.04908,2.095,1.833,0
TCGA-XF-A9T3-01A,0,0.2236,0.03976,0,3.023,0
TCGA-XF-A9T5-01A,0.01621,0.06618,0.0376,0.02912,2.717,0
TCGA-XF-A9T8-01A,0.01989,0.176,0.007777,0.01199,4.305,0
TCGA-XF-AAME-01A,0.3661,0,0.1604,0,2.151,0.02151
TCGA-XF-AAMG-01A,0.01599,0.0166,0.02791,0.7257,0.7674,0.0674
TCGA-XF-AAMJ-01A,0.01037,0,0.02411,0.462,1.452,0
TCGA-XF-AAML-01A,0.03114,0.01625,0,0.07381,1.687,0
TCGA-XF-AAMQ-01A,0,0,0.01478,0.1592,1.532,0.007255
TCGA-XF-AAMX-01A,0.9057,0,0.1374,1.572,0.2382,0.04466
TCGA-XF-AAMZ-01A,0,0,0.8685,1.509,0.7346,0
TCGA-XF-AAN2-01A,0.09027,0,0.1789,0,3.368,0
TCGA-XF-AAN4-01A,0,0,0.05842,0,1.585,0
TCGA-XF-AAN5-01A,0.0302,0,0.03522,0,4.548,0
TCGA-XF-AAN8-01A,0.01126,0.005855,0.02616,0,1.323,0.09383
TCGA-YC-A89H-01A,0.03457,0.003629,0.2542,0.02504,3.422,0.01196
TCGA-YC-A8S6-01A,0.03125,0.01089,0.07198,0.6833,0.7784,0.2785
TCGA-YC-A9TC-01A,0.006635,0.003449,0.1685,0,5.214,0
TCGA-YF-AA3L-01A,0,0.007997,0,0.2664,0.353,0.3196
TCGA-ZF-A9R0-01A,0,0,0.01062,0.6409,0.4747,1.022
TCGA-ZF-A9R4-01A,0.04559,0,0.2217,0.3199,2.006,0.1198
TCGA-ZF-A9R7-01A,0.08535,0.03384,0.01278,0.07722,4.78,0
TCGA-ZF-A9R9-01A,0.2367,0,0.02483,0.01921,0.5019,0.5946
TCGA-ZF-A9RC-01A,0.04627,0.004874,0.04329,2.273,0.2639,0.3431
TCGA-ZF-A9RD-01A,0.09102,0,0.4189,0,3.549,0
TCGA-ZF-A9RF-01A,0.007185,0,0.1287,0.03847,2.943,0.01231
TCGA-ZF-A9RM-01A,0.0745,0,0,0.4763,0.3369,0.8429
TCGA-ZF-A9RN-01A,0.1435,0.02047,0.009246,0.01426,2.435,0
TCGA-ZF-AA4R-01A,0.1441,0.004909,0.0859,0.1767,1.152,0.1393
TCGA-ZF-AA4T-01A,0.02517,0.02612,0,0.08882,0.3644,0.8278
TCGA-ZF-AA4U-01A,0,0.004145,0.02775,1.137,0.1886,0.01365
TCGA-ZF-AA4V-01A,0.00616,0,0.02147,0,3.08,0
TCGA-ZF-AA4W-01A,0.1239,0.00447,0.1161,0,3.481,0
TCGA-ZF-AA51-01A,0,0.01098,0.04878,1.761,1.438,0.2955
TCGA-ZF-AA52-01A,0.009065,0,0,0.0484,2.308,0
TCGA-ZF-AA53-01A,0.1008,0,0.0861,0.05049,2.692,0.03222
TCGA-ZF-AA58-01A,0,0.01703,0.1809,0,4.995,0
TCGA-ZF-AA5H-01A,0.2005,0.005068,0.04498,0,3.838,0.008365
